Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
245;28.3931;28.2131;-256.747;-256.254;-256.684;-256.895;-256.942;-255.996;10:12:43
246;28.3931;28.2131;-256.747;-256.269;-256.684;-256.888;-256.95;-256.003;10:12:43
247;28.397;28.2209;-256.747;-256.262;-256.684;-256.888;-256.942;-255.996;10:12:44
248;28.397;28.2131;-256.751;-256.254;-256.676;-256.88;-256.95;-255.988;10:12:44
249;28.397;28.2209;-256.747;-256.262;-256.684;-256.888;-256.935;-256.003;10:12:45
250;28.397;28.2209;-256.751;-256.262;-256.692;-256.888;-256.935;-255.996;10:12:45
251;28.3931;28.2288;-256.751;-256.262;-256.692;-256.895;-256.942;-256.003;10:12:46
252;28.397;28.2288;-256.747;-256.262;-256.684;-256.895;-256.942;-256.003;10:12:46
253;28.4009;28.2288;-256.747;-256.254;-256.692;-256.895;-256.942;-255.996;10:12:47
254;28.3931;28.2288;-256.747;-256.262;-256.684;-256.895;-256.942;-255.996;10:12:47
255;28.397;28.2288;-256.747;-256.262;-256.692;-256.903;-256.942;-255.996;10:12:48
256;28.4009;28.2288;-256.751;-256.269;-256.692;-256.895;-256.942;-255.996;10:12:48
257;28.397;28.2366;-256.747;-256.269;-256.684;-256.888;-256.95;-255.996;10:12:49
258;28.4009;28.2288;-256.751;-256.262;-256.692;-256.895;-256.95;-255.988;10:12:49
259;28.4009;28.2366;-256.747;-256.262;-256.684;-256.895;-256.942;-255.996;10:12:50
260;28.4087;28.2366;-256.747;-256.269;-256.692;-256.895;-256.942;-255.988;10:12:50
261;28.4087;28.2288;-256.751;-256.262;-256.684;-256.895;-256.95;-255.996;10:12:51
262;28.4087;28.2366;-256.758;-256.269;-256.692;-256.895;-256.942;-255.988;10:12:51
263;28.4009;28.2288;-256.755;-256.262;-256.684;-256.895;-256.95;-255.996;10:12:52
264;28.4087;28.2366;-256.758;-256.262;-256.692;-256.895;-256.942;-255.996;10:12:52
265;28.4009;28.2366;-256.755;-256.262;-256.684;-256.895;-256.95;-255.996;10:12:53
266;28.4087;28.2288;-256.758;-256.262;-256.684;-256.895;-256.95;-255.996;10:12:53
267;28.4087;28.2483;-256.755;-256.269;-256.692;-256.895;-256.942;-255.996;10:12:54
268;28.4166;28.2444;-256.751;-256.262;-256.692;-256.895;-256.942;-255.996;10:12:54
269;28.4166;28.2366;-256.755;-256.262;-256.692;-256.888;-256.958;-255.996;10:12:55
270;28.4166;28.2366;-256.751;-256.262;-256.692;-256.895;-256.942;-255.996;10:12:55
271;28.4244;28.2483;-256.751;-256.269;-256.7;-256.895;-256.942;-256.003;10:12:56
272;28.4166;28.2444;-256.751;-256.269;-256.692;-256.895;-256.95;-255.996;10:12:56
273;28.4166;28.2483;-256.751;-256.262;-256.692;-256.888;-256.95;-255.996;10:12:57
